[thewall.engine.twilight.TwilightApp] [11:21:11] main/INFO ] - Initializing TEngine 1.0.4
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:13] TEngine Main Thread/INFO ] - Time: 0.024
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:13] TEngine Main Thread/INFO ] - Time: 0.006
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:13] TEngine Main Thread/INFO ] - Time: 0.009
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:13] TEngine Main Thread/INFO ] - Time: 0.008
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:13] TEngine Main Thread/INFO ] - Time: 0.009
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:13] TEngine Main Thread/INFO ] - Time: 0.009
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:13] TEngine Main Thread/INFO ] - Time: 0.007
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:13] TEngine Main Thread/INFO ] - Time: 0.006
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:13] TEngine Main Thread/INFO ] - Time: 0.007
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:13] TEngine Main Thread/INFO ] - Time: 0.007
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:13] TEngine Main Thread/INFO ] - Time: 0.006
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:13] TEngine Main Thread/INFO ] - Time: 0.005
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:13] TEngine Main Thread/INFO ] - Time: 0.007
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:13] TEngine Main Thread/INFO ] - Time: 0.006
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:13] TEngine Main Thread/INFO ] - Time: 0.007
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:13] TEngine Main Thread/INFO ] - Time: 0.006
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:13] TEngine Main Thread/INFO ] - Time: 0.006
