[thewall.engine.tengine.TEngineApp] [10:56:03] main/INFO ] - Initializing TEngine 1.0.4
[thewall.engine.tengine.debugger.console.DebugConsole] [10:56:03] main/INFO ] - Showing up debug console
[thewall.engine.tengine.runtime.AbstractRuntime] [10:56:03] TEngine Main Thread/INFO ] - Starting runtime for [TEngine Game App Runtime]
[System.out] [10:56:03] TEngine Main Thread/INFO ] - 
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - GPU: Intel(R) HD Graphics 630
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618112902764E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.63161811293872E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.63161811295769E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618112969676E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618112982661E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618112992651E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618113004641E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618113018625E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618113031611E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618113040602E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618113052591E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618113066576E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618113078566E12
[thewall.game.TheWall] [10:56:04] TEngine Main Thread/WARN ] - FPS drop detected, current framerate: 14
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618113092551E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618113115536E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618113130517E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618113140501E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618113152492E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618113161481E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618113172471E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618113182461E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618113192451E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618113208435E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618113222421E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618113231411E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618113242401E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618113253391E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618113267375E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618113278366E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618113291351E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.63161811330334E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:56:04] TEngine Main Thread/INFO ] - Time: 1.631618113319325E12
