[thewall.engine.tengine.TEngineApp] [11:20:39] main/INFO ] - Initializing TEngine 1.0.4
[thewall.engine.tengine.debugger.console.DebugConsole] [11:20:39] main/INFO ] - Showing up debug console
[thewall.engine.tengine.runtime.AbstractRuntime] [11:20:39] TEngine Main Thread/INFO ] - Starting runtime for [TEngine Game App Runtime]
[System.out] [11:20:40] TEngine Main Thread/INFO ] - 
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:40] TEngine Main Thread/INFO ] - GPU: Intel(R) HD Graphics 630
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:40] TEngine Main Thread/INFO ] - Time: 1.631619587890309E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:40] TEngine Main Thread/INFO ] - Time: 1.631619587919256E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:40] TEngine Main Thread/INFO ] - Time: 1.631619587936236E12
[thewall.game.TheWall] [11:20:40] TEngine Main Thread/WARN ] - FPS drop detected, current framerate: 4
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:40] TEngine Main Thread/INFO ] - Time: 1.631619587955221E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:40] TEngine Main Thread/INFO ] - Time: 1.6316195879732E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:40] TEngine Main Thread/INFO ] - Time: 1.63161958799218E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:40] TEngine Main Thread/INFO ] - Time: 1.63161958801316E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:40] TEngine Main Thread/INFO ] - Time: 1.631619588031139E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:40] TEngine Main Thread/INFO ] - Time: 1.631619588059125E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:40] TEngine Main Thread/INFO ] - Time: 1.631619588075094E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:40] TEngine Main Thread/INFO ] - Time: 1.631619588090079E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:40] TEngine Main Thread/INFO ] - Time: 1.631619588106064E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:40] TEngine Main Thread/INFO ] - Time: 1.63161958812305E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:40] TEngine Main Thread/INFO ] - Time: 1.631619588141029E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:40] TEngine Main Thread/INFO ] - Time: 1.631619588156014E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:41] TEngine Main Thread/INFO ] - Time: 1.631619588171998E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:41] TEngine Main Thread/INFO ] - Time: 1.631619588185984E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:41] TEngine Main Thread/INFO ] - Time: 1.631619588199969E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:41] TEngine Main Thread/INFO ] - Time: 1.631619588212955E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:41] TEngine Main Thread/INFO ] - Time: 1.631619588231939E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:41] TEngine Main Thread/INFO ] - Time: 1.631619588241925E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:41] TEngine Main Thread/INFO ] - Time: 1.631619588250914E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:41] TEngine Main Thread/INFO ] - Time: 1.631619588260906E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:41] TEngine Main Thread/INFO ] - Time: 1.631619588268896E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:41] TEngine Main Thread/INFO ] - Time: 1.631619588281885E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:41] TEngine Main Thread/INFO ] - Time: 1.63161958829787E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:41] TEngine Main Thread/INFO ] - Time: 1.631619588311854E12
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [11:20:41] TEngine Main Thread/INFO ] - Time: 1.631619588325839E12
