[thewall.game.TheWall] [19:13:12] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:13] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:14] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:15] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:16] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:17] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:18] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:19] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:20] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:21] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:22] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:23] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:24] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:25] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:26] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:27] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:28] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:29] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:30] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:31] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:32] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:33] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:34] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:35] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:36] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:37] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:38] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:39] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:40] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:41] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:42] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:43] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:44] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:45] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:46] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:47] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:48] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:49] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:50] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:51] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:52] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:53] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:54] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:55] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:56] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:57] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:58] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:13:59] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:00] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:01] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:02] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:03] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:04] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:05] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:06] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:07] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:08] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:09] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:10] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:11] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:12] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:13] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:14] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:15] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:16] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:17] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:18] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
