[thewall.engine.twilight.TwilightApp] [19:04:15] main/INFO ] - Initializing Twilight 1.1.0.3
[thewall.engine.twilight.runtime.AbstractRuntime] [19:04:15] TwLight Main Thread/INFO ] - Starting runtime for [Twilight Game App Runtime]
[thewall.engine.twilight.shaders.ShaderProgram] [19:04:15] TwLight Main Thread/ERROR] - Uniform from [thewall.engine.twilight.shaders.StaticShader] [random] not found
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [19:04:16] TwLight Main Thread/INFO ] - CPU:       Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [19:04:16] TwLight Main Thread/INFO ] - OpenGL:    4.6 (Compatibility Profile) Mesa 20.3.5
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [19:04:16] TwLight Main Thread/INFO ] - GPU:       Mesa Intel(R) HD Graphics 630 (KBL GT2)
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [19:04:16] TwLight Main Thread/INFO ] - Vendor:    Intel
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [19:04:16] TwLight Main Thread/INFO ] - Memory :   15891MB
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [19:04:16] TwLight Main Thread/INFO ] - Baseboard: ASUSTeK COMPUTER INC. UX550VE
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [19:04:16] TwLight Main Thread/INFO ] - Sound 1:   HDA-Intel - HDA Intel PCH Intel Kabylake HDMI Advanced Linux Sound Architecture Driver Version k5.14.0-2parrot1-amd64.
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [19:04:16] TwLight Main Thread/INFO ] - Sound 2:   USB-Audio - PRO X  Advanced Linux Sound Architecture Driver Version k5.14.0-2parrot1-amd64.
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [19:04:16] TwLight Main Thread/INFO ] - 
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [19:04:16] TwLight Main Thread/INFO ] - Initialization complete, runtime is ready
[thewall.game.Game] [19:04:16] main/INFO ] - Game started in 0.817s.
[thewall.engine.twilight.render.MasterRenderer] [19:04:16] TwLight Main Thread/WARN ] - Entity [thewall.engine.twilight.entity.RawEntity] is deprecated, try to use another or implement your own.
[thewall.game.TheWall] [19:04:16] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:04:17] TwLight Main Thread/INFO ] - X:267.614 Y:98.20015 Z:584.63745
[thewall.game.TheWall] [19:04:18] TwLight Main Thread/INFO ] - X:287.65564 Y:98.20015 Z:387.0519
[thewall.game.TheWall] [19:04:19] TwLight Main Thread/INFO ] - X:409.16315 Y:98.20015 Z:279.99954
[thewall.game.TheWall] [19:04:20] TwLight Main Thread/INFO ] - X:412.20166 Y:25.999958 Z:231.69514
[thewall.game.TheWall] [19:04:21] TwLight Main Thread/INFO ] - X:408.55518 Y:25.999958 Z:220.47258
[thewall.game.TheWall] [19:04:22] TwLight Main Thread/INFO ] - X:408.55518 Y:22.399971 Z:220.47258
[thewall.game.TheWall] [19:04:23] TwLight Main Thread/INFO ] - X:408.55518 Y:44.19998 Z:220.47258
[thewall.game.TheWall] [19:04:24] TwLight Main Thread/INFO ] - X:408.55518 Y:31.399971 Z:220.47258
[thewall.game.TheWall] [19:04:25] TwLight Main Thread/INFO ] - X:408.55518 Y:31.399971 Z:220.47258
[thewall.game.TheWall] [19:04:26] TwLight Main Thread/INFO ] - X:408.55518 Y:31.399971 Z:220.47258
[thewall.game.TheWall] [19:04:27] TwLight Main Thread/INFO ] - X:408.55518 Y:31.399971 Z:220.47258
[thewall.game.TheWall] [19:04:28] TwLight Main Thread/INFO ] - X:408.55518 Y:31.399971 Z:220.47258
[thewall.game.TheWall] [19:04:29] TwLight Main Thread/INFO ] - X:408.55518 Y:31.399971 Z:220.47258
[thewall.game.TheWall] [19:04:30] TwLight Main Thread/INFO ] - X:408.55518 Y:31.399971 Z:220.47258
[thewall.game.TheWall] [19:04:31] TwLight Main Thread/INFO ] - X:408.55518 Y:31.399971 Z:220.47258
[thewall.game.TheWall] [19:04:32] TwLight Main Thread/INFO ] - X:408.55518 Y:31.399971 Z:220.47258
