[thewall.engine.twilight.TwilightApp] [17:26:19] main/INFO ] - Initializing TEngine 1.0.6
[thewall.engine.twilight.runtime.AbstractRuntime] [17:26:19] TwLight Main Thread/INFO ] - Starting runtime for [Twilight Game App Runtime]
[thewall.engine.twilight.shaders.ShaderProgram] [17:26:20] TwLight Main Thread/ERROR] - Uniform [random] not found
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [17:26:20] TwLight Main Thread/INFO ] - OpenGL:                4.6 (Compatibility Profile) Mesa 20.3.5
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [17:26:20] TwLight Main Thread/INFO ] - GPU:                   Mesa Intel(R) HD Graphics 630 (KBL GT2)
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [17:26:20] TwLight Main Thread/INFO ] - OpenGL Vendor:         Intel
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:26:20] TwLight Main Thread/INFO ] - true
[thewall.engine.twilight.render.MasterRenderer] [17:26:20] TwLight Main Thread/WARN ] - Entity [thewall.engine.twilight.entity.RawEntity] is deprecated, try to use another entity or implement your own.
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:26:20] TwLight Main Thread/INFO ] - true
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:26:20] TwLight Main Thread/INFO ] - true
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:26:20] TwLight Main Thread/INFO ] - true
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:26:20] TwLight Main Thread/INFO ] - true
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:26:20] TwLight Main Thread/INFO ] - true
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:26:20] TwLight Main Thread/INFO ] - true
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:26:20] TwLight Main Thread/INFO ] - true
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:26:20] TwLight Main Thread/INFO ] - true
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:26:20] TwLight Main Thread/INFO ] - true
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:26:20] TwLight Main Thread/INFO ] - true
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:26:20] TwLight Main Thread/INFO ] - true
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:26:20] TwLight Main Thread/INFO ] - true
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:26:20] TwLight Main Thread/INFO ] - true
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:26:20] TwLight Main Thread/INFO ] - true
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:26:20] TwLight Main Thread/INFO ] - true
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:26:20] TwLight Main Thread/INFO ] - true
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:26:20] TwLight Main Thread/INFO ] - true
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:26:20] TwLight Main Thread/INFO ] - true
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:26:20] TwLight Main Thread/INFO ] - true
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [17:26:20] TwLight Main Thread/INFO ] - true
